,1,2,3,4,5,6,7,8
ability,0.007017544,0,0,0.002621232,0,0,0,0
about,0.003508772,0.002415459,0,0.001310616,0,0.008849558,0,0
accepts,0.010526316,0,0,0,0,0,0,0
actions,0.010526316,0,0,0,0,0,0,0
after,0.004965044,0,0,0.001854571,0,0.012522456,0,0
all,0.019860175,0,0,0.005563712,0,0,0,0.047167917
almost,0.010526316,0,0,0,0,0,0,0
america,0.004965044,0.003417965,0,0.001854571,0,0,0,0
american,0.021052632,0.009661836,0,0,0,0,0,0
and,0.023300351,0.020050121,0.021467457,0.01359887,0,0.033056084,0,0.027669167
apart,0.010526316,0,0,0,0,0,0,0
are,0.019860175,0.00683593,0,0.012981995,0,0,0,0
arms,0.007017544,0,0,0.007863696,0,0,0,0
atlantic,0.007017544,0.004830918,0,0,0,0,0,0
away,0.007017544,0,0,0.007863696,0,0,0,0
because,0.007017544,0,0,0.002621232,0,0,0,0
become,0.007017544,0,0,0.002621232,0,0,0,0
been,0.014895132,0.003417965,0,0.001854571,0,0,0,0
before,0.010526316,0,0,0,0,0,0,0
better,0.014035088,0,0.034482759,0,0,0,0,0
big,0.010526316,0,0,0,0,0,0,0
born,0.021052632,0,0,0,0,0,0,0
broken,0.010526316,0,0,0,0,0,0,0
but,0.009930088,0.023925755,0,0.003709142,0,0,0,0
chance,0.010526316,0,0,0,0,0,0,0
children,0.031578947,0,0,0,0,0,0,0
choose,0.010526316,0,0,0,0,0,0,0
circumstance,0.010526316,0,0,0,0,0,0,0
come,0.010526316,0,0,0,0,0,0,0
commitment,0.010526316,0,0,0,0,0,0,0
conditions,0.010526316,0,0,0,0,0,0,0
country,0.009930088,0,0,0.007418283,0,0,0,0.023583958
cover,0.010526316,0,0,0,0,0,0,0
create,0.010526316,0,0,0,0,0,0,0
created,0.014035088,0,0,0,0,0,0,0.033333333
cries,0.010526316,0,0,0,0,0,0,0
crossed,0.010526316,0,0,0,0,0,0,0
cruelty,0.010526316,0,0,0,0,0,0,0
dangerous,0.007017544,0,0,0.010484928,0,0,0,0
darkness,0.010526316,0,0,0,0,0,0,0
day,0.007017544,0,0,0.002621232,0,0,0,0
deserve,0.010526316,0,0,0,0,0,0,0
desperate,0.010526316,0,0,0,0,0,0,0
else,0.010526316,0,0,0,0,0,0,0
enduring,0.010526316,0,0,0,0,0,0,0
enough,0.021052632,0,0,0.002621232,0,0,0,0
equal,0.010526316,0,0,0,0,0,0,0
eventually,0.007017544,0,0,0.002621232,0,0,0,0
families,0.042105263,0,0,0,0,0,0,0
fearing,0.010526316,0,0,0,0,0,0,0
finally,0.007017544,0,0,0.002621232,0,0,0,0
find,0.007017544,0,0,0.002621232,0,0,0,0
flee,0.010526316,0,0,0,0,0,0,0
for,0.016654398,0.008189274,0,0.006220843,0,0.024002545,0,0.011301198
fortunate,0.010526316,0,0,0,0,0,0,0
forward,0.004965044,0,0,0.001854571,0,0,0,0.023583958
found,0.007017544,0.004830918,0,0,0,0,0,0
from,0.0023792,0.004913565,0.035072685,0.003554768,0,0.006000636,0,0
generations,0.014035088,0,0,0,0,0.017699115,0,0
god,0.010526316,0,0,0,0,0,0,0
grace,0.010526316,0,0,0,0,0,0,0
grande,0.010526316,0,0,0,0,0,0,0
grandparents,0.010526316,0,0,0,0,0,0,0
grew,0.010526316,0,0,0,0,0,0,0
had,0.004965044,0.003417965,0,0.001854571,0,0,0,0
have,0.011895998,0.00327571,0.011690895,0.004443459,0,0,0,0.011301198
hear,0.010526316,0,0,0,0,0,0,0
heartrending,0.010526316,0,0,0,0,0,0,0
here,0.010526316,0,0,0,0,0,0,0
honor,0.010526316,0,0,0,0,0,0,0
how,0.007017544,0.024154589,0,0,0,0,0,0
human,0.021052632,0,0,0,0,0,0,0
ideal,0.010526316,0,0,0,0,0,0,0
imagine,0.031578947,0,0,0,0,0,0,0
immigrant,0.010526316,0,0,0,0,0,0,0
impulse,0.010526316,0,0,0,0,0,0,0
isnt,0.007017544,0.009661836,0,0,0,0,0,0
its,0.003508772,0.007246377,0,0.009174312,0,0.008849558,0,0
keep,0.010526316,0,0,0,0,0,0,0
kids,0.007017544,0,0,0,0,0,0,0.033333333
last,0.010526316,0,0,0,0,0,0,0
laws,0.021052632,0,0,0,0,0,0,0
legacy,0.007017544,0,0,0,0,0.017699115,0,0
life,0.009930088,0.003417965,0,0,0,0,0,0.023583958
like,0.007017544,0.004830918,0,0,0,0,0,0
lives,0.007017544,0,0.034482759,0,0,0,0,0
look,0.009930088,0.003417965,0,0,0,0,0,0.023583958
makes,0.014035088,0.004830918,0,0,0,0,0,0
many,0.004965044,0.00683593,0,0.001854571,0,0,0,0
miles,0.010526316,0,0,0,0,0,0,0
moment,0.010526316,0,0,0,0,0,0,0
more,0.009930088,0,0,0.005563712,0.02721226,0,0,0
names,0.010526316,0,0,0,0,0,0,0
nation,0.021052632,0,0,0,0,0,0,0
once,0.007017544,0.004830918,0,0,0,0,0,0
only,0.010526316,0,0,0,0,0,0,0
others,0.007017544,0.004830918,0,0,0,0,0,0
our,0.017475263,0.003007518,0,0.008159322,0.00798149,0.007345796,0,0.020751875
ourselves,0.021052632,0,0,0,0,0,0,0
pacific,0.010526316,0,0,0,0,0,0,0
parents,0.021052632,0,0,0,0,0,0,0
part,0.014035088,0,0,0.005242464,0,0,0,0
persecution,0.010526316,0,0,0,0,0,0,0
place,0.007017544,0,0,0.005242464,0,0,0,0
placed,0.007017544,0,0,0.002621232,0,0,0,0
plights,0.010526316,0,0,0,0,0,0,0
policies,0.007017544,0,0,0.002621232,0,0,0,0
propelled,0.010526316,0,0,0,0,0,0,0
protect,0.010526316,0,0,0,0,0,0,0
prove,0.010526316,0,0,0,0,0,0,0
puts,0.007017544,0,0,0.002621232,0,0,0,0
question,0.010526316,0,0,0,0,0,0,0
real,0.007017544,0,0,0.002621232,0,0,0,0
reality,0.007017544,0,0,0.002621232,0,0,0,0
refugee,0.021052632,0,0,0,0,0,0,0
rio,0.010526316,0,0,0,0,0,0,0
ripping,0.010526316,0,0,0,0,0,0,0
same,0.010526316,0,0,0,0,0,0,0
say,0.021052632,0,0,0,0,0,0,0
see,0.009930088,0.003417965,0,0,0.02721226,0,0,0
shared,0.007017544,0,0,0.002621232,0,0,0,0
shoes,0.010526316,0,0,0,0,0,0,0
simple,0.010526316,0,0,0,0,0,0,0
something,0.019860175,0.00683593,0,0,0,0,0,0.023583958
somewhere,0.010526316,0,0,0,0,0,0,0
sound,0.010526316,0,0,0,0,0,0,0
strangers,0.010526316,0,0,0,0,0,0,0
suffering,0.010526316,0,0,0,0,0,0,0
taught,0.010526316,0,0,0,0,0,0,0
than,0.009930088,0.003417965,0,0.001854571,0,0,0,0
that,0.029790263,0.023925755,0,0.037091415,0,0,0,0
thats,0.009930088,0.003417965,0,0.003709142,0,0,0,0
the,0.010815162,0.012563809,0.009964401,0.017421377,0.018523565,0.005114471,0,0.009632254
their,0.000675948,0.000465326,0.009964401,0.000252484,0.011114139,0.001704824,0,0.003210751
them,0.007137599,0.001637855,0.011690895,0.001777384,0,0,0,0.011301198
there,0.003508772,0.002415459,0,0.003931848,0,0.017699115,0,0
this,0.004758399,0.006551419,0,0.001777384,0,0.012001273,0,0.011301198
those,0.007017544,0,0,0.002621232,0,0,0,0
thousands,0.010526316,0,0,0,0,0,0,0
through,0.007017544,0,0,0,0.038461538,0,0,0
time,0.004758399,0.004913565,0,0.001777384,0.013039844,0.006000636,0,0
today,0.007017544,0,0,0.002621232,0,0,0,0
together,0.0023792,0.001637855,0.011690895,0.000888692,0,0.006000636,0,0
too,0.010526316,0,0,0,0,0,0,0
travel,0.010526316,0,0,0,0,0,0,0
under,0.007017544,0,0,0.007863696,0,0,0,0
uphold,0.007017544,0,0,0.002621232,0,0,0,0
values,0.014035088,0.004830918,0,0,0,0,0,0
very,0.009930088,0.003417965,0,0.001854571,0,0,0,0
violence,0.010526316,0,0,0,0,0,0,0
votes,0.010526316,0,0,0,0,0,0,0
watch,0.007017544,0,0.034482759,0,0,0,0,0
way,0.014035088,0,0,0,0.038461538,0,0,0
welcome,0.007017544,0,0,0,0.038461538,0,0,0
welcomed,0.010526316,0,0,0,0,0,0,0
were,0.009930088,0,0,0.001854571,0,0.012522456,0,0
what,0.007137599,0.011464984,0.011690895,0.001777384,0,0.006000636,0,0
where,0.014035088,0,0,0.002621232,0,0,0,0
whether,0.010526316,0,0,0,0,0,0,0
who,0.007017544,0.014492754,0,0,0,0,0,0
whose,0.010526316,0,0,0,0,0,0,0
willing,0.010526316,0,0,0,0,0,0,0
wise,0.010526316,0,0,0,0,0,0,0
works,0.010526316,0,0,0,0,0,0,0
world,0.0023792,0,0.011690895,0.000888692,0.013039844,0.012001273,0,0
worship,0.010526316,0,0,0,0,0,0,0
you,0.010526316,0.002415459,0,0,0,0.008849558,0,0.016666667
youd,0.021052632,0,0,0,0,0,0,0
your,0.014035088,0,0,0,0.038461538,0,0,0
yourself,0.010526316,0,0,0,0,0,0,0
youve,0.010526316,0,0,0,0,0,0,0
accelerating,0,0.007246377,0,0,0,0,0,0
across,0,0.004830918,0,0,0,0.017699115,0,0
admittedly,0,0.007246377,0,0,0,0,0,0
again,0,0.007246377,0,0,0,0,0,0
ago,0,0.004830918,0,0,0,0,0,0.033333333
agree,0,0.007246377,0,0,0,0,0,0
alex,0,0.014492754,0,0,0,0,0,0
alive,0,0.007246377,0,0,0,0,0,0
always,0,0.009661836,0,0.002621232,0,0,0,0
americans,0,0.014492754,0,0.002621232,0,0,0,0
analysis,0,0.014492754,0,0,0,0,0,0
another,0,0.004830918,0,0.002621232,0,0,0,0
appreciation,0,0.014492754,0,0,0,0,0,0
aristocracy,0,0.007246377,0,0,0,0,0,0
art,0,0.007246377,0,0,0,0,0,0
asked,0,0.007246377,0,0,0,0,0,0
authors,0,0.007246377,0,0,0,0,0,0
beautiful,0,0.007246377,0,0,0,0,0,0
believes,0,0.007246377,0,0,0,0,0,0
belonging,0,0.007246377,0,0,0,0,0,0
best,0,0.004830918,0,0.002621232,0,0,0,0
between,0,0.004830918,0,0.007863696,0,0,0,0
bind,0,0.007246377,0,0,0,0,0,0
book,0,0.028985507,0,0,0,0,0,0
burmese,0,0.007246377,0,0,0,0,0,0
came,0,0.007246377,0,0,0,0,0,0
can,0,0.003417965,0,0.005563712,0,0,0,0.023583958
carolina,0,0.007246377,0,0,0,0,0,0
centuries,0,0.007246377,0,0,0,0,0,0
change,0,0.004830918,0,0,0.038461538,0,0,0
changing,0,0.007246377,0,0,0,0,0,0
charleston,0,0.007246377,0,0,0,0,0,0
church,0,0.007246377,0,0,0,0,0,0
circumstances,0,0.007246377,0,0,0,0,0,0
cities,0,0.007246377,0,0,0,0,0,0
clem,0,0.007246377,0,0,0,0,0,0
clementa,0,0.007246377,0,0,0,0,0,0
cogent,0,0.007246377,0,0,0,0,0,0
community,0,0.004830918,0,0.002621232,0,0,0,0
comprehensive,0,0.004830918,0,0.002621232,0,0,0,0
conclusions,0,0.007246377,0,0,0,0,0,0
confronts,0,0.007246377,0,0,0,0,0,0
corporation,0,0.007246377,0,0,0,0,0,0
curious,0,0.007246377,0,0,0,0,0,0
daughter,0,0.007246377,0,0,0,0,0,0
days,0,0.004830918,0.034482759,0,0,0,0,0
debate,0,0.007246377,0,0,0,0,0,0
decay,0,0.007246377,0,0,0,0,0,0
deep,0,0.014492754,0,0,0,0,0,0
democracies,0,0.007246377,0,0,0,0,0,0
democracy,0,0.004830918,0,0.002621232,0,0,0,0
democratic,0,0.007246377,0,0,0,0,0,0
deneen,0,0.007246377,0,0,0,0,0,0
different,0,0.007246377,0,0,0,0,0,0
diminishing,0,0.007246377,0,0,0,0,0,0
discovered,0,0.007246377,0,0,0,0,0,0
discussion,0,0.007246377,0,0,0,0,0,0
dishonest,0,0.007246377,0,0,0,0,0,0
disillusionment,0,0.007246377,0,0,0,0,0,0
dont,0,0.007246377,0,0,0,0,0,0
during,0,0.004830918,0,0,0,0.017699115,0,0
each,0,0.002415459,0.034482759,0,0.019230769,0.008849558,0,0
economic,0,0.007246377,0,0,0,0,0,0
economy,0,0.007246377,0,0,0,0,0,0
education,0,0.007246377,0,0,0,0,0,0
enrico,0,0.007246377,0,0,0,0,0,0
epic,0,0.007246377,0,0,0,0,0,0
eulogized,0,0.007246377,0,0,0,0,0,0
even,0,0.004830918,0,0.005242464,0,0,0,0
everywhere,0,0.007246377,0,0,0,0,0,0
evidence,0,0.007246377,0,0,0,0,0,0
exploration,0,0.007246377,0,0,0,0,0,0
facts,0,0.009661836,0,0.007863696,0,0,0,0
failed,0,0.007246377,0,0,0,0,0,0
family,0,0.007246377,0,0,0,0,0,0
father,0,0.007246377,0,0,0,0,0,0
feel,0,0.007246377,0,0,0,0,0,0
few,0,0.004830918,0.017241379,0.001310616,0,0.008849558,0,0
findings,0,0.007246377,0,0,0,0,0,0
forget,0,0.007246377,0,0,0,0,0,0
friend,0,0.004830918,0,0,0,0.017699115,0,0
futureface,0,0.007246377,0,0,0,0,0,0
geography,0,0.007246377,0,0,0,0,0,0
good,0,0.007246377,0,0,0,0,0,0
grappling,0,0.007246377,0,0,0,0,0,0
growing,0,0.014492754,0,0,0,0,0,0
happiness,0,0.007246377,0,0,0,0,0,0
harmony,0,0.007246377,0,0,0,0,0,0
has,0,0.003417965,0,0.011127425,0.02721226,0,0,0
havent,0,0.007246377,0,0,0,0,0,0
health,0,0.007246377,0,0,0,0,0,0
heart,0,0.007246377,0,0,0,0,0,0
heavier,0,0.007246377,0,0,0,0,0,0
her,0,0.007246377,0,0,0,0,0,0
heres,0,0.007246377,0,0,0,0,0,0
his,0,0.004830918,0,0,0,0.053097345,0,0
history,0,0.028985507,0,0,0,0,0,0
ideals,0,0.007246377,0,0,0,0,0,0
identities,0,0.007246377,0,0,0,0,0,0
identity,0,0.007246377,0,0,0,0,0,0
ignore,0,0.007246377,0,0,0,0,0,0
ill,0,0.02173913,0,0,0,0,0,0
increasing,0,0.007246377,0,0,0,0,0,0
individual,0,0.007246377,0,0,0,0,0,0
inequality,0,0.014492754,0,0,0,0,0,0
initial,0,0.007246377,0,0,0,0,0,0
insights,0,0.007246377,0,0,0,0,0,0
interesting,0,0.007246377,0,0,0,0,0,0
into,0,0.004830918,0,0.002621232,0,0,0,0
iowan,0,0.007246377,0,0,0,0,0,0
irishcatholic,0,0.007246377,0,0,0,0,0,0
issues,0,0.004830918,0,0.002621232,0,0,0,0
ive,0,0.007246377,0,0,0,0,0,0
jennifer,0,0.007246377,0,0,0,0,0,0
jobs,0,0.007246377,0,0,0,0,0,0
just,0,0.009661836,0,0.002621232,0,0,0,0
kavanagh,0,0.007246377,0,0,0,0,0,0
known,0,0.007246377,0,0,0,0,0,0
landrieu,0,0.007246377,0,0,0,0,0,0
lately,0,0.007246377,0,0,0,0,0,0
learn,0,0.003417965,0.024397198,0,0,0.012522456,0,0
liberal,0,0.014492754,0,0,0,0,0,0
liberalism,0,0.007246377,0,0,0,0,0,0
lift,0,0.007246377,0,0,0,0,0,0
list,0,0.014492754,0,0,0,0,0,0
listening,0,0.007246377,0,0,0,0,0,0
live,0,0.004830918,0,0,0.038461538,0,0,0
loss,0,0.007246377,0,0,0,0,0,0
made,0,0.007246377,0,0,0,0,0,0
matthew,0,0.007246377,0,0,0,0,0,0
meaning,0,0.007246377,0,0,0,0,0,0
means,0,0.014492754,0,0,0,0,0,0
meditation,0,0.007246377,0,0,0,0,0,0
michael,0,0.007246377,0,0,0,0,0,0
might,0,0.007246377,0,0,0,0,0,0
mine,0,0.007246377,0,0,0,0,0,0
miss,0,0.007246377,0,0,0,0,0,0
mitch,0,0.014492754,0,0,0,0,0,0
moretti,0,0.007246377,0,0,0,0,0,0
most,0,0.00683593,0,0.005563712,0,0,0,0.023583958
mother,0,0.007246377,0,0,0,0,0,0
much,0,0.003417965,0,0.001854571,0,0.012522456,0,0
mystery,0,0.007246377,0,0,0,0,0,0
never,0,0.004830918,0,0.002621232,0,0,0,0
new,0,0.014492754,0,0,0,0,0,0
not,0,0.004830918,0,0.010484928,0,0,0,0
now,0,0.007246377,0,0,0,0,0,0
offers,0,0.007246377,0,0,0,0,0,0
often,0,0.007246377,0,0,0,0,0,0
old,0,0.007246377,0,0,0,0,0,0
one,0,0.003417965,0,0.001854571,0.02721226,0,0,0
optimistic,0,0.007246377,0,0,0,0,0,0
order,0,0.007246377,0,0,0,0,0,0
out,0,0.004830918,0,0.002621232,0,0,0,0
over,0,0.003417965,0.048794397,0.001854571,0,0,0,0
own,0,0.01367186,0,0.001854571,0.02721226,0,0,0
painful,0,0.007246377,0,0,0,0,0,0
parts,0,0.007246377,0,0,0,0,0,0
past,0,0.009661836,0.034482759,0,0,0,0,0
patrick,0,0.007246377,0,0,0,0,0,0
percent,0,0.004830918,0,0.002621232,0,0,0,0
peril,0,0.007246377,0,0,0,0,0,0
pinckney,0,0.007246377,0,0,0,0,0,0
policymakers,0,0.007246377,0,0,0,0,0,0
practical,0,0.007246377,0,0,0,0,0,0
present,0,0.007246377,0,0,0,0,0,0
problemsolving,0,0.007246377,0,0,0,0,0,0
public,0,0.007246377,0,0,0,0,0,0
quest,0,0.007246377,0,0,0,0,0,0
rand,0,0.007246377,0,0,0,0,0,0
reading,0,0.02173913,0,0,0,0,0,0
reasoned,0,0.007246377,0,0,0,0,0,0
reasserting,0,0.007246377,0,0,0,0,0,0
regions,0,0.007246377,0,0,0,0,0,0
reverend,0,0.007246377,0,0,0,0,0,0
rich,0,0.007246377,0,0,0,0,0,0
rise,0,0.007246377,0,0,0,0,0,0
role,0,0.007246377,0,0,0,0,0,0
said,0,0.007246377,0,0,0,0,0,0
search,0,0.014492754,0,0,0,0,0,0
secret,0,0.007246377,0,0,0,0,0,0
selective,0,0.007246377,0,0,0,0,0,0
selfdefeating,0,0.007246377,0,0,0,0,0,0
selfexplanatory,0,0.007246377,0,0,0,0,0,0
selfreinforcing,0,0.007246377,0,0,0,0,0,0
shadow,0,0.007246377,0,0,0,0,0,0
share,0,0.003417965,0.024397198,0,0,0.012522456,0,0
she,0,0.007246377,0,0,0,0,0,0
short,0,0.007246377,0,0,0,0,0,0
six,0,0.007246377,0,0,0,0,0,0
slain,0,0.007246377,0,0,0,0,0,0
slightly,0,0.007246377,0,0,0,0,0,0
smart,0,0.007246377,0,0,0,0,0,0
society,0,0.007246377,0,0,0,0,0,0
some,0,0.003417965,0,0.003709142,0.02721226,0,0,0
someone,0,0.007246377,0,0,0,0,0,0
sorting,0,0.007246377,0,0,0,0,0,0
south,0,0.02173913,0,0,0,0,0,0
southerner,0,0.007246377,0,0,0,0,0,0
statues,0,0.007246377,0,0,0,0,0,0
stewart,0,0.007246377,0,0,0,0,0,0
still,0,0.014492754,0,0,0,0,0,0
